#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown
#
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.29e+07  |3508253344|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.91595880|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.75476653|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.14395280|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.29056540|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.75443455|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.00183470|   WEAK   
      rgb_lagged_sum|  26|   1000000|     100|0.29564716|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.55454069|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.95060367|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.84311768|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.74900673|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.97908946|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.55462893|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.55441023|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.54877178|  PASSED  
             dab_dct| 256|     50000|       1|0.50485155|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.85589158|  PASSED  
        dab_filltree|  32|  15000000|       1|0.50834164|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.26446899|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.70251135|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.49773591|  PASSED  
